Bank Ticker,BAC,BAC,BAC,BAC,BAC,C,C,C,C,C,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM,MS,MS,MS,MS,MS,WFC,WFC,WFC,WFC,WFC
Stock Info,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-02,46.15,46.36,45.91,46.02,0.0,485.3,487.1,482.2,483.5,0.0,127.71,128.07,126.7,127.15,0.0,39.69,39.79,39.48,39.71,0.0,47.1008,47.3333,46.7107,47.2751,0.0,31.415,31.535,31.215,31.415,0.0
2006-01-03,47.08,47.18,46.15,46.92,16197900.0,492.9,493.8,481.1,490.0,1536700.0,128.87,129.44,124.23,126.7,6168700.0,40.19,40.36,39.3,39.83,12838000.0,48.4041,48.5535,47.1008,47.4578,6354408.0,31.9,31.975,31.195,31.6,11015000.0
2006-01-04,46.58,47.24,46.45,47.0,17427400.0,483.8,491.0,483.5,488.6,1852790.0,127.09,128.91,126.38,127.35,4834700.0,39.62,40.14,39.42,39.78,11836800.0,48.4373,49.2093,48.4373,48.7278,9292188.0,31.53,31.82,31.365,31.8,10594000.0
2006-01-05,46.64,46.83,46.32,46.58,14668900.0,486.2,487.8,484.0,484.4,1015470.0,127.04,127.32,125.61,126.0,3688100.0,39.74,39.81,39.5,39.61,7658700.0,48.5701,48.6365,48.1634,48.6033,6534262.0,31.495,31.555,31.31,31.5,9927600.0
2006-01-06,46.57,46.91,46.35,46.8,11965700.0,486.2,489.0,482.0,488.8,1358930.0,128.84,129.25,127.29,127.29,4249100.0,40.02,40.24,39.55,39.92,7812700.0,48.6199,48.8524,48.1883,48.786,8146445.0,31.68,31.775,31.385,31.58,8324000.0
2006-01-09,46.6,46.97,46.36,46.72,15536300.0,483.9,487.4,483.0,486.0,1625400.0,130.39,130.62,128.0,128.5,4693200.0,40.67,40.72,39.88,39.88,16277300.0,49.1346,49.2176,48.6648,48.6697,4985805.0,31.675,31.825,31.555,31.675,5589600.0
2006-01-10,46.21,46.51,45.88,46.4,15507500.0,485.4,485.5,480.8,483.0,1335690.0,132.03,132.95,130.02,130.05,5577100.0,40.73,40.75,40.07,40.5,16420300.0,49.1595,49.1595,48.6282,48.8524,5215652.0,31.65,31.685,31.445,31.55,6727200.0
2006-01-11,46.1,46.25,45.75,46.06,14562000.0,489.8,495.8,485.8,495.8,1684440.0,131.97,133.8,131.42,131.45,4600500.0,40.7,40.87,40.61,40.73,12170500.0,49.45,49.7074,48.8441,49.1014,6635694.0,31.815,31.895,31.575,31.65,7954000.0
2006-01-12,45.8,46.23,45.71,46.22,10394900.0,490.3,491.0,488.8,491.0,1225090.0,132.25,133.21,131.38,131.4,3705000.0,39.95,40.42,39.9,40.25,12200600.0,49.367,49.6244,49.201,49.4999,4597908.0,31.445,31.79,31.43,31.705,10594000.0
2006-01-13,45.8,46.0,45.68,45.83,10742100.0,489.2,491.9,487.3,491.0,907880.0,133.26,133.66,131.9,132.02,2890500.0,39.92,40.03,39.65,39.78,10807800.0,49.2923,49.5331,49.0267,49.45,4122312.0,31.625,31.795,31.51,31.55,6314200.0
